-2.0e0 -2.0e0 8.0e0 8.0e0
-1.86207e0 -2.0e0 7.4673035e0 7.4673035e0
-1.72414e0 -2.0e0 6.9726563e0 6.9726563e0
-1.58621e0 -2.0e0 6.5160645e0 6.5160645e0
-1.44828e0 -2.0e0 6.0975159e0 6.0975159e0
-1.31035e0 -2.0e0 5.7170166e0 5.7170166e0
-1.17242e0 -2.0e0 5.3745682e0 5.3745682e0
-1.03449e0 -2.0e0 5.0701675e0 5.0701675e0
-8.9656e-1 -2.0e0 4.8038199e0 4.8038199e0
-7.5863e-1 -2.0e0 4.5755196e0 4.5755196e0
-6.207e-1 -2.0e0 4.3852686e0 4.3852686e0
-4.827701e-1 -2.0e0 4.233067e0 4.233067e0
-3.448401e-1 -2.0e0 4.1189146e0 4.1189146e0
-2.069101e-1 -2.0e0 4.0428117e0 4.0428117e0
-6.89801e-2 -2.0e0 4.0047581e0 4.0047581e0
6.89499e-2 -2.0e0 4.004754e0 4.004754e0
2.068799e-1 -2.0e0 4.0427992e0 4.0427992e0
3.448099e-1 -2.0e0 4.1188939e0 4.1188939e0
4.827399e-1 -2.0e0 4.2330377e0 4.2330377e0
6.206699e-1 -2.0e0 4.385231e0 4.385231e0
7.585999e-1 -2.0e0 4.5754738e0 4.5754738e0
8.965298e-1 -2.0e0 4.8037657e0 4.8037657e0
1.0344598e0 -2.0e0 5.070108e0 5.070108e0
1.1723898e0 -2.0e0 5.3744965e0 5.3744965e0
1.3103198e0 -2.0e0 5.7169373e0 5.7169373e0
1.4482498e0 -2.0e0 6.0974274e0 6.0974274e0
1.5861798e0 -2.0e0 6.5159668e0 6.5159668e0
1.7241098e0 -2.0e0 6.972557e0 6.972557e0
1.8620398e0 -2.0e0 7.4671906e0 7.4671906e0
1.9999698e0 -2.0e0 7.999878e0 7.999878e0

-2.0e0 -1.86207e0 7.4673035e0 7.4673035e0
-1.86207e0 -1.86207e0 6.934607e0 6.934607e0
-1.72414e0 -1.86207e0 6.4399597e0 6.4399597e0
-1.58621e0 -1.86207e0 5.9833679e0 5.9833679e0
-1.44828e0 -1.86207e0 5.5648193e0 5.5648193e0
-1.31035e0 -1.86207e0 5.18432e0 5.18432e0
-1.17242e0 -1.86207e0 4.8418716e0 4.8418716e0
-1.03449e0 -1.86207e0 4.537471e0 4.537471e0
-8.9656e-1 -1.86207e0 4.2711234e0 4.2711234e0
